samples,tissue,estimate,status
preg4,brain,4.91013665958451e-61,pregnant
preg5,brain,2.8536570483008764e-20,pregnant
preg6,brain,1.8745143617044083e-118,pregnant
preg7,brain,2.00632368668336e-06,pregnant
nonpreg1,fibroblast,1.5117675632047687e-25,not pregnant
nonpreg2,fibroblast,0.0009148999246804332,not pregnant
nonpreg3,fibroblast,6.261286338202278e-10,not pregnant
nonpreg4,fibroblast,6.821832155324139e-20,not pregnant
nonpreg5,fibroblast,1.5093757732113607e-15,not pregnant
nonpreg6,fibroblast,7.234410712993965e-13,not pregnant
nonpreg7,fibroblast,0.0003318632166513014,not pregnant
nonpreg8,fibroblast,0.00016748848344590167,not pregnant
preg1,fibroblast,1.7475691336463555e-31,pregnant
preg2,fibroblast,9.04841020571283e-10,pregnant
preg3,fibroblast,5.111400022863077e-15,pregnant
preg4,fibroblast,8.877479399514037e-18,pregnant
preg5,fibroblast,1.2807847564801875e-12,pregnant
preg6,fibroblast,3.3679728137761967e-19,pregnant
preg7,fibroblast,1.0447063997578436e-13,pregnant
nonpreg1,heart,1.521736829684316e-79,not pregnant
nonpreg2,heart,2.2906660872634008e-38,not pregnant
nonpreg3,heart,4.602887277344626e-72,not pregnant
nonpreg4,heart,4.618847249936707e-56,not pregnant
nonpreg5,heart,3.6700277599362843e-79,not pregnant
nonpreg6,heart,4.695586269956231e-53,not pregnant
nonpreg7,heart,9.956938965781753e-49,not pregnant
nonpreg8,heart,8.866552073866072e-84,not pregnant
preg1,heart,2.727771887522067e-113,pregnant
preg2,heart,7.964408108786571e-67,pregnant
preg3,heart,2.349971194134099e-92,pregnant
preg4,heart,3.3658143961466293e-46,pregnant
preg5,heart,6.53402098147042e-29,pregnant
preg6,heart,7.017086755498115e-75,pregnant
preg7,heart,7.138298201330254e-18,pregnant
nonpreg1,hepatocyte,6.866365363556551e-84,not pregnant
nonpreg2,hepatocyte,2.0126412697245892e-38,not pregnant
nonpreg3,hepatocyte,9.388094693869296e-98,not pregnant
nonpreg4,hepatocyte,1.182562517094268e-72,not pregnant
nonpreg5,hepatocyte,5.741547323548872e-117,not pregnant
nonpreg6,hepatocyte,1.7403453601482672e-63,not pregnant
nonpreg7,hepatocyte,1.0829201549200042e-43,not pregnant
nonpreg8,hepatocyte,3.585398574016341e-98,not pregnant
preg1,hepatocyte,2.0256886833192904e-147,pregnant
preg2,hepatocyte,2.243622561759752e-81,pregnant
preg3,hepatocyte,1.5903348547478902e-97,pregnant
preg4,hepatocyte,1.1185347595752197e-57,pregnant
preg5,hepatocyte,5.246055335265758e-13,pregnant
preg6,hepatocyte,8.886521796450154e-110,pregnant
preg7,hepatocyte,1.6361978623844318e-10,pregnant
nonpreg1,lung,8.142717475094504e-102,not pregnant
nonpreg2,lung,2.6909597082502905e-47,not pregnant
nonpreg3,lung,4.568078303512597e-102,not pregnant
nonpreg4,lung,8.551164439206989e-78,not pregnant
nonpreg5,lung,4.5364050987562564e-123,not pregnant
nonpreg6,lung,1.0076876663136018e-72,not pregnant
nonpreg7,lung,1.1344089282246872e-57,not pregnant
nonpreg8,lung,2.4032684688889993e-105,not pregnant
preg1,lung,1.2288007393519609e-157,pregnant
preg2,lung,2.8114352496092508e-87,pregnant
preg3,lung,2.2306209254376136e-122,pregnant
preg4,lung,1.771866740778995e-55,pregnant
preg5,lung,3.757819680284145e-17,pregnant
preg6,lung,2.4234378808027337e-109,pregnant
preg7,lung,0.008078606688249406,pregnant
nonpreg1,mammary,3.090105810656112e-61,not pregnant
nonpreg2,mammary,1.2094803608560294e-25,not pregnant
nonpreg3,mammary,4.5500151072611285e-77,not pregnant
nonpreg4,mammary,4.302939464216879e-56,not pregnant
nonpreg5,mammary,2.0967772710601523e-83,not pregnant
nonpreg6,mammary,1.1542297964523724e-39,not pregnant
nonpreg7,mammary,5.566691003809077e-44,not pregnant
nonpreg8,mammary,4.621325918814188e-74,not pregnant
preg1,mammary,1.2285300794610754e-107,pregnant
preg2,mammary,4.647137105494785e-72,pregnant
preg3,mammary,1.4605836699067862e-71,pregnant
preg4,mammary,2.4047516268568843e-48,pregnant
preg5,mammary,0.0013308252157599476,pregnant
preg6,mammary,4.0706234996762884e-89,pregnant
preg7,mammary,4.0622827480703645e-23,pregnant
nonpreg1,megakaryocyte,0.04248463077347856,not pregnant
nonpreg2,megakaryocyte,0.05992078612823504,not pregnant
nonpreg3,megakaryocyte,0.04001081901607435,not pregnant
nonpreg4,megakaryocyte,0.051751922703231035,not pregnant
nonpreg5,megakaryocyte,0.12647888432058035,not pregnant
nonpreg6,megakaryocyte,0.05058984389112011,not pregnant
nonpreg7,megakaryocyte,0.14984337283691093,not pregnant
