	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
ctrl19	0.040055407082636385	0.020895560772422633	0.03615062598598536	0.04641964257364128	0.025827333210671082	0.1496323942426365	0.19774255604593088	0.04613150379760111	0.0005700294196646313	3.0828111716682793e-06	9.789809438246987e-06	2.6817335026343982e-05	3.875606812695569e-06	0.00012323814624864903	1.4103734985033866e-05	0.001736353540523297	0.177319143526672	0.003162710271739026	0.0675402025030494	0.18663562958314392
als2	0.035814904946146475	0.00816083176651259	0.06557015294689036	0.13822175893422228	0.05324798722777524	0.06344945693095784	0.024933407537480634	0.00827496549345638	0.03596744647178432	1.9297221773903147e-09	4.605323538183837e-07	0.020811296475337904	9.486226372760499e-08	2.333985222590451e-06	4.7042666903268403e-07	0.0007023542879045333	0.20694963129262128	0.0003222559563769019	0.054096016729377076	0.2834741712669248
ctrl20	0.06624106411947783	0.010559513849053074	0.03447757141104447	0.13095324209326642	0.017644991225777708	0.05421346388602053	0.5315378408416934	5.997015743319904e-05	0.029658027060283337	6.970171246463006e-11	1.8432432685852273e-07	4.5258810807889744e-07	8.046996037895126e-13	4.065803650340538e-06	1.1958745566686637e-07	0.008697911564034476	0.08285288522657303	0.0004710926587660777	0.030614217171010562	0.0020133863615185133
ctrl21	0.0424441546654986	0.022155511187423458	0.08470263613245338	0.1107240067945809	0.01785712679232028	0.03593397620587424	0.4838341086619056	0.005327842741527514	0.026435104135975898	1.6543743056312616e-07	3.6590746890533894e-07	2.0876549930001063e-06	8.609526142334166e-09	0.0007108597930305377	0.00034333948765591577	5.832772336023137e-05	0.08863288924097472	0.00035994787487033563	0.025694961067304588	0.05478257988582516
ctrl22	0.019753625404251702	0.02236117985386267	0.0388182662321282	0.07564705430892456	0.0010916901710706342	0.02453145061083125	0.6286440416627008	0.030544216973725405	1.8063546177979143e-06	1.0790125867743223e-23	1.6767363315491598e-27	3.584665796445311e-05	2.8122628262735835e-15	4.147088504400231e-26	2.8372741254759042e-27	4.3316133884692515e-23	0.058675508493324716	0.014359131508151952	0.059905452248983554	0.025630729519459397
ctrl23	0.08156535705801359	0.001949093523287444	0.0349512740728125	0.03158304317053978	0.05573246163075726	0.010709938366273914	0.0011297418907533947	0.00585152195152263	0.017256150899432665	4.354425071404096e-07	0.00024806266654985715	2.478363672261993e-06	1.3012058806124648e-07	2.4375514419720466e-06	9.366282546088598e-05	6.558398137215765e-07	0.04004964665285916	0.00012371382098711316	0.0005751279107943922	0.7181750662419323
ctrl24	0.04774645984558592	0.03711526017831613	0.05781317725425228	0.054400896287465014	0.10896457151595337	0.08684789864984177	0.09649486212099946	0.00569333375000197	0.027666666742165752	4.745038183808776e-06	2.1161361769748686e-07	0.000674293980968536	3.045870075107505e-05	2.189961231515668e-07	6.432091884165679e-07	2.874525210555117e-07	0.10737895806379112	0.005985637592774556	0.10813505301778778	0.2550463659897111
als25	0.006544560345554061	0.014278950053518551	0.0452776868010344	0.05502327006398277	0.017542714028201224	0.06608663666880715	0.5155896523732494	0.00044332835111080644	0.0009063518987686736	8.851697663472071e-08	1.5028675500609978e-10	0.002593315639450869	6.338280474092087e-05	8.882893798924272e-12	4.63575884518271e-10	4.807371468158729e-11	0.11894307161100658	0.0157520523708136	0.007463803412773175	0.13349113438919213
ctrl26	0.043437873254916826	0.04046351070067912	0.07068576196860614	0.18213916969444716	0.038025082496442035	0.11152233446580372	0.18135008817510845	0.0016554049287455291	0.03014099593901122	1.180067465228981e-24	3.665595948190461e-28	0.017195253112638	8.464857519670743e-20	4.682083411568599e-25	6.911320965598734e-27	1.1526525247957328e-20	0.03187533395682909	0.011183167403142694	0.08430139327740249	0.15602463062622754
als27	0.04128608879148908	0.05681120082884597	0.052150262883748175	0.21803268099412784	0.018658819830754125	0.029939409701029297	0.1462746444756606	0.0032778863489865855	0.012702604527982832	2.1947960267198575e-16	7.38835449052887e-18	0.015219508153865326	8.455104967376453e-15	5.185376964882533e-13	9.777678775274977e-17	3.261594307788649e-10	0.23279815458282302	0.02064489736849157	0.01110810813112706	0.1410957330543817
